1942(tm) Game	'42	1942	1942
Little Samson(tm) Game	SAM	Little Samson	Little Samson
Lode Runner(tm) Game	LODE	Lode Runner	Lode Runner
Low G Man(tm) Game	LOW	Low G Man - The Low Gravity Man	Low G Man - The Low Gravity Man
M.C. Kids(tm) Game	KIDS	M.C Kids	M.C Kids
M.U.L.E.(tm) Game	MULE	M.U.L.E.	M.U.L.E.
M.U.S.C.L.E.(tm) Game	MUSC	M.U.S.C.L.E.	M.U.S.C.L.E.
MIG 29 Soviet Fighter(tm) Game	MIG	MiG 29 - Soviet Fighter	MiG 29 - Soviet Fighter
Mad Max(tm) Game	MAX	Mad Max	Mad Max
MagMax(tm) Game	MAX	Magmax	Magmax
Mappy Land(tm) Game	MAP	Mappy-Land	Mappy-Land
Marble Madness(tm) Game	MAD	Marble Madness	Marble Madness
Mario Bros.(tm) Game	BROS	Mario Bros.	Mario Bros.
Mechanized Attack(tm) Game	MEC	Mechanized Attack	Mechanized Attack
Mega Man 6(tm) Game	MM6	Megaman VI	Megaman VI
MegaMan 2(tm) Game	MEGA	Megaman II	Megaman II
MegaMan 3(tm) Game	MEGA	Megaman III	Megaman III
MegaMan 4(tm) Game	MM4	Megaman IV	Megaman IV
MegaMan 5(tm) Game	MEG5	Megaman V	Megaman V
MegaMan(tm) Game	MEGA	Megaman	Megaman
Mendel Palace(tm) Game	MEND	Mendel Palace	Mendel Palace
Metal Gear(tm) Game	GEAR	Metal Gear	Metal Gear
Metal Mech(tm) Game	MECH	Metal Mech - Man & Machine	Metal Mech - Man & Machine
Metal Storm(tm) Game	MET	Metal Storm	Metal Storm
Metroid(tm) Game	MET	Metroid	Metroid
Mickey Mousecapade(tm) Game	MICK	Mickey Mousecapade	Mickey Mousecapade
Micro Machines(tm) The Official Video Game	MICRO	Micro Machines	Micro Machines
Mighty Bomb Jack(tm) Game	JACK	Mighty Bomb Jack	Mighty Bomb Jack
Mighty Final Fight(tm) Game	MFF	Mighty Final Fight	Mighty Final Fight
Millipede(tm) Game	PEDE	Millipede	Millipede
Milon's Secret Castle(tm) Game	MIL	Milon's Secret Castle	Milon's Secret Castle
Mission: Impossible(tm) Game	MISS	Mission - Impossible	Mission - Impossible
Monopoly(tm) Game	MONO	Monopoly	Monopoly
Monster Party(tm) Game	PART	Monster Party	Monster Party
Motor City Patrol(tm) Game	CITY	Motor City Patrol	Motor City Patrol
Ms. Pac-Man(tm) Game	MS	Ms. Pac-Man	Ms. Pac-Man
Mystery Quest(tm) Game	MYST	Mystery Quest	Mystery Quest
NES Play Action Football(tm) Game	PLAY	NES Play Action Football	NES Play Action Football
Narc(tm) Game	NARC	NARC	NARC
Nigel Mansell's World Championship Racing(tm) Game	NIGE	Nigel Mansell's World Championship Challenge	Nigel Mansell's World Championship Challenge
Ninja Crusaders(tm) Game	NINJA	Ninja Crusaders	Ninja Crusaders
Ninja Gaiden II(tm) Game	GAID	Ninja Gaiden II - The Dark Sword of Chaos	Ninja Gaiden II - The Dark Sword of Chaos
Ninja Gaiden III The Ancient Ship of Doom(tm) Game	GAI3	Ninja Gaiden III - The Ancient Ship of Doom	Ninja Gaiden III - The Ancient Ship of Doom
Ninja Gaiden(tm) Game	NINJ	Ninja Gaiden	Ninja Gaiden
Ninja Kid(tm) Game	KID	Ninja Kid	Ninja Kid
North & South(tm) Game	NORTH	North & South	North & South
Operation Wolf(tm) Game	OP	Operation Wolf	Operation Wolf
P.O.W.(tm) Game	POW	P.O.W. - Prisoners of War	P.O.W. - Prisoners of War
Pac Man(tm) Game	PAC	Pac-Man	Pac-Man
Panic Restaurant(tm) Game	PANIC	Panic Restaurant	Panic Restaurant
Paper Boy(tm) Game	BOY	Paperboy	Paperboy
Paperboy 2(tm) Game	PAPER	Paperboy 2	Paperboy 2
Phantom Fighter(tm) Game	PHAN	Phantom Fighter	Phantom Fighter
Pin-Bot(tm) Game	BOT	Pin Bot	Pin Bot
Pinball Game	PIN	Pinball	Pinball
Pipe Dream(tm) Game	PIPE	Pipe Dream	Pipe Dream
Platoon(tm) Game	PLAT	Platoon	Platoon
Popeye(tm) Game	POP	Popeye	Popeye
Power Blade 2(tm) Game	BLADE	Power Blade 2	Power Blade 2
Power Blade(tm) Game	POWB	Power Blade	Power Blade
Predator(tm) Game	PRED	Predator	Predator
Pro Sport Hockey(tm) Game	PRO	Pro Sport Hockey	Pro Sport Hockey
Pro Wrestling(tm) Game	PRO	Pro Wrestling	Pro Wrestling
Pugsley's Scavenger Hunt(tm) Game	PUGS	Addams Family, The - Pugsley's Scavenger Hunt	Addams Family, The - Pugsley's Scavenger Hunt
Puss 'n Boots--Pero's Great Adventure(tm) Game	BOOT	Puss 'n Boots - Pero's Great Adventure	Puss 'n Boots - Pero's Great Adventure
Puzznic(tm) Game	PUZZ	Puzznic	Puzznic
Q*Bert(tm) Game	BERT	Q-bert	Q-bert
Qix(tm) Game	QIX	Qix	Qix
Quattro Adventure(tm) Game	BOOM/LINU//ROB/TREAS	Quattro Adventure	Quattro Adventure
Quattro Arcade(tm) Game	GODIZ/BUGG/F-16/C.J.	Quattro Arcade	Quattro Arcade
R.C. Pro-Am II(tm) Game	PRO 2	R.C. Pro-Am II	R.C. Pro-Am II
RC Pro Am(tm) Game	PRO	R.C. Pro-Am	R.C. Pro-Am
Race America(tm) Game		Race America	Race America
Rad Racer(tm) Game	RAD	Rad Racer	Rad Racer
Raid on Bungeling Bay(tm) Game	RAID	Raid on Bungeling Bay	Raid on Bungeling Bay
Rally Bike(tm) Game	RAL	Rally Bike	Rally Bike
Rambo(tm) Game	BO	Rambo	Rambo
Rampage(tm) Game	RAM	Rampage	Rampage
Renegade(tm) Game	PRO	Renegade	Renegade
Ring King(tm) Game	KING	Ring King	Ring King
River City Ransom(tm) Game	CITY	River City Ransom	River City Ransom
Road Runner(tm) Game	BEEP	Road Runner	Road Runner
Roadblasters(tm) Game	ROAD	RoadBlasters	RoadBlasters
Robin Hood: Prince of Thieves(tm) Game	HOOD	Robin Hood - Prince of Thieves	Robin Hood - Prince of Thieves
RoboCop(tm) Game	COP	RoboCop	RoboCop
RoboWarrior(tm) Game	ROBO	Robo Warrior	Robo Warrior
Robocop 3(tm) Game	ROBO3	RoboCop 3	RoboCop 3
Rocket Ranger(tm) Game	ROCK	Rocket Ranger	Rocket Ranger
Rocketeer(tm) Game	ROCKET	Rocketeer, The	Rocketeer, The
Rockin' Kats(tm) Game		Rockin' Kats	Rockin' Kats
Roger Clemens' MVP Baseball(tm) Game	ROGER	Roger Clemens' MVP Baseball	Roger Clemens' MVP Baseball
Roller Ball(tm) Game	 ROLL	Rollerball	Rollerball
Rollerblade Racer(tm) Game	ROLL	Rollerblade Racer	Rollerblade Racer
Rollergames(tm) Game	GAMES	Rollergames	Rollergames
Rolling Thunder(tm) Game	ROLL	Rolling Thunder	Rolling Thunder
Rush'N'Attack(tm) Game	RUSH	Rush'n Attack	Rush'n Attack
S.C.A.T.(tm) Game	SCAT	S.C.A.T. - Special Cybernetic Attack Team	S.C.A.T. - Special Cybernetic Attack Team
Section Z(tm) Game	Z	Section Z	Section Z
Seicross(tm) Game	SEI	Seicross	Seicross
Shadow of the Ninja(tm) Game	SHAD	Shadow of the Ninja	Shadow of the Ninja
Shatterhand(tm) Game	HAND	Shatterhand	Shatterhand
Shinobi(tm) Game	NOBI	Shinobi	Shinobi
Shooting Range(tm) Game	SHOO	Shooting Range	Shooting Range
Silent Service(tm) Game	SIL	Silent Service	Silent Service
Silkworm(tm) Game	SILK	Silkworm	Silkworm
Silver Surfer(tm) Game	SURF	Silver Surfer	Silver Surfer
Skate or Die 2(tm) Game	DIE	Skate or Die 2 - The Search for Double Trouble	Skate or Die 2 - The Search for Double Trouble
Ski or Die(tm) Game	SKI 	Ski or Die	Ski or Die
Skull & Crossbones(tm) Game	SKULL	Skull & Crossbones	Skull & Crossbones
Sky Kid(tm) Game	SKYK	Sky Kid	Sky Kid
Sky Shark(tm) Game	SKY	Sky Shark	Sky Shark
Slalom(tm) Game	SLALOM	Slalom	Slalom
Smash T.V.(tm) Game		Smash T.V.	Smash T.V.
Snake's Revenge(tm) Game	SNAKE	Snake's Revenge	Snake's Revenge
Snake, Rattle 'N' Roll(tm) Game	RAT	Snake Rattle N Roll	Snake Rattle N Roll
Snow Brothers(tm) Game	SNOW	Snow Brothers	Snow Brothers
Soccer Game	SOC	Soccer	Soccer
Solar Jetman(tm) Game	JET	Solar Jetman - Hunt for the Golden Warpship	Solar Jetman - Hunt for the Golden Warpship
Solomon's Key(tm) Game	SOL	Solomon's Key	Solomon's Key
Solstice(tm) Game	SOLS	Solstice - The Quest for the Staff of Demnos	Solstice - The Quest for the Staff of Demnos
Spelunker(tm) Game	LUNK	Spelunker	Spelunker
Spy Hunter(tm) Game	SPY	Spy Hunter	Spy Hunter
Spy vs Spy(tm) Game	SPYS	Spy Vs Spy	Spy Vs Spy
Squoon(tm) Game	SQOO	Sqoon	Sqoon
Star Soldier(tm) Game	STAR	Star Soldier	Star Soldier
Star Trek 25th Anniversary(tm) Game	TREK	Star Trek - 25th Anniversary	Star Trek - 25th Anniversary
Star Trek: The Next Generation(tm) Game	NEXT	Star Trek - The Next Generation	Star Trek - The Next Generation
Star Voyager(tm) Game	VOY	Star Voyager	Star Voyager
Star Wars(tm) Game	STAR	Star Wars (JVC)	Star Wars (JVC)
StarTropics(tm) Game	TROP	Startropics	Startropics
Starforce(tm) Game	FORCE	Star Force	Star Force
Starship Hector(tm) Game	HEC	Starship Hector	Starship Hector
Stealth ATF(tm) Game	ATF	Stealth ATF	Stealth ATF
Stinger(tm) Game	STING	Stinger	Stinger
Street Cop(tm) Game	COP	Street Cop	Street Cop
Street Fighter 2010: The Final Fight(tm) Game	FIGHT	Street Fighter 2010 - The Final Fight	Street Fighter 2010 - The Final Fight
Strider(tm) Game	STRI	Strider	Strider
Stunt Kids(tm) Game	STUNT	Stunt Kids	Stunt Kids
Super Bowl(tm) Game	SUPBOL	Tecmo Super Bowl	Tecmo Super Bowl
Super C(tm) Game	SUPER	Super C	Super C
Super Mario Bros.(tm) 2 Game	SMB2	Super Mario Bros. 2 (U)	Super Mario Bros. 2 (U)
Super Mario Bros.(tm) 3 Game	SMB3	Super Mario Bros. 3	Super Mario Bros. 3
Super Mario Bros.(tm) Game	SMB	Super Mario Bros.	Super Mario Bros.
Super Pitfall(tm) Game	PIT	Super Pitfall	Super Pitfall
Super Sprint(tm) Game	SPRI	Super Sprint	Super Sprint
Superman(tm) Game	SUPER	Superman	Superman
Swords & Serpents(tm) Game	SWORD	Swords and Serpents	Swords and Serpents
T & C Surf 2: Thrilla's Safari(tm) Game		T&C 2 - Thrilla's Surfari	T&C 2 - Thrilla's Surfari
T & C Surf Designs(tm) Game	SURF	T&C Surf Design	T&C Surf Design
T2(tm) Terminator(tm) 2: Judgment Day(tm) Game	TERM2	Terminator 2 - Judgment Day	Terminator 2 - Judgment Day
Tale Spin(tm) Game	SPIN	TaleSpin	TaleSpin
Target: Renegade(tm) Game	TAR	Target - Renegade	Target - Renegade
Tecmo Bowl(tm) Game	BOWL	Tecmo Bowl	Tecmo Bowl
Tecmo World Cup(tm) Game		Tecmo World Cup Soccer	Tecmo World Cup Soccer
Tecmo(tm) NBA(tm) Basketball Game	BALL	Tecmo NBA Basketball	Tecmo NBA Basketball
Teenage Mutant Ninja Turtles III-The Manhattan Project(tm) Game	TMNT3	Teenage Mutant Ninja Turtles III - The Manhattan Project	Teenage Mutant Ninja Turtles III - The Manhattan Project
Teenage Mutant Ninja Turtles(tm) Game	TEEN	Teenage Mutant Ninja Turtles	Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles(tm) II: The Arcade Game(tm) Game	TMNT2	Teenage Mutant Ninja Turtles II - The Arcade Game	Teenage Mutant Ninja Turtles II - The Arcade Game
Teenage Mutant Ninja Turtles(tm): Tournament Fighters(tm) Game		Teenage Mutant Ninja Turtles - Tournament Fighters	Teenage Mutant Ninja Turtles - Tournament Fighters
Terra Cresta(tm) Game	TERA	Terra Cresta	Terra Cresta
Tetris 2(tm) Game	TET2	Tetris 2	Tetris 2
Tetris(tm) Game	TET	Tetris	Tetris
The Adventures of Bayou Billy(tm) Game	BILL	Adventures of Bayou Billy, The	Adventures of Bayou Billy, The
The Adventures of Rocky and Bullwinkle and Friends(tm) Game	BULL	Adventures of Rocky and Bullwinkle and Friends, The	Adventures of Rocky and Bullwinkle and Friends, The
The Blue Marlin(tm) Game		Blue Marlin, The	Blue Marlin, The
The Bugs Bunny(tm) Birthday Blow Out(tm) Game	BUGS	Bugs Bunny Birthday Blowout, The	Bugs Bunny Birthday Blowout, The
The Empire Strikes Back(tm) Game	EMP	Star Wars - The Empire Strikes Back	Star Wars - The Empire Strikes Back
The Fantastic Adventures of Dizzy(tm) Game	DIZ	Fantastic Adventures of Dizzy, The	Fantastic Adventures of Dizzy, The
The Flintstones--The Surprise at Dinosaur Peak(tm) Game	STONES	Flintstones, The - The Surprise at Dinosaur Peak!	Flintstones, The - The Surprise at Dinosaur Peak!
The Flintstones: The Rescue of Dino and Hoppy(tm) Game	FLINT	Flintstones, The - The Rescue of Dino & Hoppy	Flintstones, The - The Rescue of Dino & Hoppy
The Great Waldo Search(tm) Game	SEARCH	Great Waldo Search, The	Great Waldo Search, The
The Guardian Legend(tm) Game	GUARD	Guardian Legend, The	Guardian Legend, The
The Hunt for Red October(tm) Game	RED	Hunt for Red October, The	Hunt for Red October, The
The Immortal(tm) Game	MORT	Immortal, The	Immortal, The
The Jetsons: Cogswell's Caper(tm) Game	JET	Jetsons, The - Cogswell's Caper!	Jetsons, The - Cogswell's Caper!
The Karate Kid(tm) Game	KARA	Karate Kid, The	Karate Kid, The
The Krion Conquest(tm) Game	KRI	Krion Conquest, The	Krion Conquest, The
The Last Starfighter(tm) Game	LAST	Last Starfighter, The	Last Starfighter, The
The Legend of Kage(tm) Game	KAGE	Legend of Kage, The	Legend of Kage, The
The Legend of Zelda(tm) Game	ZELD	Legend of Zelda, The	Legend of Zelda, The
The Little Mermaid(tm) Game	MAID	Little Mermaid, The	Little Mermaid, The
The Lone Ranger(tm) Game	LONE	Lone Ranger, The	Lone Ranger, The
The Magic of Scheherazade(tm) Game	MAGIC	Magic of Scheherazade, The	Magic of Scheherazade, The
The Mutant Virus: Crisis in Computer World(tm) Game		Mutant Virus, The	Mutant Virus, The
The Punisher(tm) Game	PUN	Punisher, The	Punisher, The
The Ren & Stimpy Show Buckeroos(tm) Game	ROOS	Ren & Stimpy Show, The	Ren & Stimpy Show, The
The Simpsons(tm): Bart Vs. The World(tm) Game	BAR2	Simpsons, The - Bart Vs. the World	Simpsons, The - Bart Vs. the World
The Simpsons(tm): Bart(tm) vs. The Space Mutants Game	BART	Simpsons, The - Bart Vs. the Space Mutants	Simpsons, The - Bart Vs. the Space Mutants
The Simpsons: Bartman Meets Radioactive Man(tm) Game	RADIO	Simpsons, The - Bartman Meets Radioactive Man	Simpsons, The - Bartman Meets Radioactive Man
The Untouchables(tm) Game	UNTO	Untouchables, The	Untouchables, The
The Young Indiana Jones Chronicles(tm) Game	KRON	Young Indiana Jones Chronicles, The	Young Indiana Jones Chronicles, The
Thunderbirds(tm) Game	BIRD	Thunderbirds	Thunderbirds
Thundercade(tm) Game	CADE	Thundercade	Thundercade
Tiger Heli(tm) Game	HELI	Tiger-Heli	Tiger-Heli
Time Lord(tm) Game	LORD	Time Lord	Time Lord
Tiny Toon Adventures 2(tm) Game	TOON2	Tiny Toon Adventures 2 - Trouble in Wackyland	Tiny Toon Adventures 2 - Trouble in Wackyland
Tiny Toon Adventures(tm) Game	TINY	Tiny Toon Adventures	Tiny Toon Adventures
To The Earth(tm) Game	EARTH	To The Earth	To The Earth
Toki(tm) Game		Toki	Toki
Tom and Jerry(tm) Game	TOM	Tom & Jerry	Tom & Jerry
Toobin'(tm) Game	TOOB	Toobin'	Toobin'
Top Gun(tm) (The Second Mission) Game	GUN	Top Gun - The Second Mission	Top Gun - The Second Mission
Top Gun(tm) Game	TOP	Top Gun	Top Gun
Total Recall(tm) Game	CALL	Total Recall	Total Recall
Totally Rad(tm) Game	RAD	Totally Rad	Totally Rad
Trojan(tm) Game	TRO	Trojan	Trojan
Twin Cobra(tm) Game	COBRA	Twin Cobra	Twin Cobra
Twin Eagle(tm) Game	TWIN	Twin Eagle	Twin Eagle
Ultima Exodus(tm) Game	ULT	Ultima - Exodus	Ultima - Exodus
Ultima, Quest of the Avatar(tm) Game	AVA	Ultima - Quest of the Avatar	Ultima - Quest of the Avatar
Ultima, Warriors of Destiny(tm) Game	DEST	Ultima - Warriors of Destiny	Ultima - Warriors of Destiny
Ultimate Stuntman(tm) Game	ULT	Ultimate Stuntman	Ultimate Stuntman
Urban Champion(tm) Game	URB	Urban Champion	Urban Champion
Vice: Project Doom(tm) Game	VICE	Vice - Project Doom	Vice - Project Doom
Vindicators(tm) Game	VIND	Vindicators	Vindicators
WWF Wrestlemania Challenge(tm) Game	WRES	WWF WrestleMania Challenge	WWF WrestleMania Challenge
WWF Wrestlemania(tm) Game	WRES	WWF Wrestlemania	WWF Wrestlemania
Wacky Races(tm) Game	RACES	Wacky Races	Wacky Races
Wayne's World(tm) Game	WAY	Wayne's World	Wayne's World
Werewolf: The Last Warrior(tm) Game	WOLF	Werewolf - The Last Warrior	Werewolf - The Last Warrior
Wheel Of Fortune(tm) Game	WHEEL	Wheel of Fortune	Wheel of Fortune
Where's Waldo(tm) Game	WHERE	Where's Waldo	Where's Waldo
Who Framed Roger Rabbit(tm) Game	ROG	Who Framed Roger Rabbit	Who Framed Roger Rabbit
Whomp 'Em(tm) Game	WHOMP	Whomp'Em	Whomp'Em
Wild Gunman(tm) Game	WILD	Wild Gunman	Wild Gunman
Willow(tm) Game	WILO	Willow	Willow
Wizardry - Proving Grounds of the Mad Overlord(tm) Game	PROV	Wizardry - Proving Grounds of the Mad Overlord	Wizardry - Proving Grounds of the Mad Overlord
Wizards & Warriors III(tm) Game	WAW3	Wizards & Warriors III - Kuros - Visions of Power	Wizards & Warriors III - Kuros - Visions of Power
Wizards and Warriors(tm) Game	WIZ	Wizards & Warriors	Wizards & Warriors
Wolverine(tm) Game	WOLV	Wolverine	Wolverine
World Cup(tm) Game	CUP	Nintendo World Cup	Nintendo World Cup
World Wrestling(tm) Game	WORLD	Tecmo World Wrestling	Tecmo World Wrestling
Wrath of the Black Manta(tm) Game	MANT	Wrath of the Black Manta	Wrath of the Black Manta
Wrecking Crew(tm) Game	CREW	Wrecking Crew	Wrecking Crew
Wurm: Journey to the Center of the Earth(tm) Game	WURM	WURM - Journey to the Center of the Earth	WURM - Journey to the Center of the Earth
X-Men(tm) Game	X	Uncanny X-Men, The	Uncanny X-Men, The
Xenophobe(tm) Game	XENO	Xenophobe	Xenophobe
Xevious(tm) The Avenger Game	ZEV	Xevious	Xevious
Xexyz(tm) Game	XEX	Xexyz	Xexyz
Yo! Noid(tm) Game	NOID	Yo! Noid	Yo! Noid
Yoshi(tm) Game	YOSH	Yoshi	Yoshi
Zanac(tm) Game	ZAN	Zanac	Zanac
Zelda II: The Adventures of Link(tm) Game	ZEL2	Zelda II - The Adventure of Link	Zelda II - The Adventure of Link
Zen Intergalactic Ninja(tm) Game	ZEN	Zen - Intergalactic Ninja	Zen - Intergalactic Ninja
Zoda's Revenge: Star Tropics II(tm) Game	ZODE	Startropics II - Zoda's Revenge	Startropics II - Zoda's Revenge
